gene_idx,frame,action_id,action_name,mario_x,mario_y,vel_x,vel_y,float_state,on_ground,delta_x
164,656,9,Right+Jump+Run,731,112,12,0,0,1,3
165,660,7,Right+Run,734,112,16,0,0,1,3
166,664,1,Right,739,112,19,0,0,1,5
167,668,9,Right+Jump+Run,744,96,22,-4,1,0,5
168,672,4,Right+Jump,750,83,24,-4,1,0,6
169,676,7,Right+Run,756,73,24,-2,1,0,6
170,680,7,Right+Run,762,69,24,-1,1,0,6
171,684,5,Left+Jump,767,71,21,1,1,0,5
172,688,9,Right+Jump+Run,773,79,24,2,1,0,6
173,692,1,Right,779,93,24,4,1,0,6
174,696,2,Left,785,110,22,4,1,0,6
175,700,9,Right+Jump+Run,790,126,24,4,1,0,5
176,704,8,Left+Run,796,143,22,4,1,0,6
177,708,4,Right+Jump,802,160,24,4,1,0,6
178,712,9,Right+Jump+Run,808,176,24,0,0,1,6
179,716,2,Left,813,176,19,0,0,1,5
180,720,5,Left+Jump,817,160,15,-4,1,0,4
181,724,9,Right+Jump+Run,822,147,19,-4,1,0,5
182,728,9,Right+Jump+Run,827,135,24,-3,1,0,5
183,732,10,Left+Jump+Run,833,126,19,-3,1,0,6
184,736,9,Right+Jump+Run,838,118,24,-2,1,0,5
185,740,9,Right+Jump+Run,844,112,24,-2,1,0,6
186,744,10,Left+Jump+Run,849,108,19,-1,1,0,5
187,748,10,Left+Jump+Run,854,106,14,-1,1,0,5
188,752,9,Right+Jump+Run,858,105,19,0,1,0,4
189,756,9,Right+Jump+Run,863,109,24,1,1,0,5
190,760,9,Right+Jump+Run,869,120,24,3,1,0,6
191,764,9,Right+Jump+Run,875,135,24,4,1,0,6
192,768,9,Right+Jump+Run,881,152,24,4,1,0,6
193,772,1,Right,887,169,24,4,1,0,6
194,776,7,Right+Run,894,176,27,0,0,1,7
195,780,1,Right,898,176,0,0,0,1,4
196,784,3,Jump,898,160,0,-4,1,0,0
197,788,5,Left+Jump,897,147,-6,-3,1,0,-1
198,792,4,Right+Jump,897,136,0,-3,1,0,0
199,796,1,Right,898,128,4,-1,1,0,1
200,800,10,Left+Jump+Run,898,128,1,1,1,0,0
201,804,2,Left,898,135,-3,2,1,0,0
202,808,4,Right+Jump,898,148,3,4,1,0,0
203,812,9,Right+Jump+Run,898,165,1,4,1,0,0
204,816,11,Down,898,176,0,0,0,1,0
205,820,9,Right+Jump+Run,898,160,3,-4,1,0,0
206,824,1,Right,898,149,1,-2,1,0,0
207,828,0,NOOP,898,145,1,0,1,0,0
208,832,2,Left,898,147,-3,1,1,0,0
209,836,1,Right,898,157,3,3,1,0,0
210,840,7,Right+Run,898,173,0,4,1,0,0
211,844,7,Right+Run,898,176,4,0,0,1,0
212,848,9,Right+Jump+Run,898,160,2,-4,1,0,0
213,852,5,Left+Jump,898,147,-1,-3,1,0,0
214,856,1,Right,898,138,3,-2,1,0,0
215,860,9,Right+Jump+Run,898,135,0,0,1,0,0
216,864,9,Right+Jump+Run,898,140,3,2,1,0,0
217,868,1,Right,898,152,1,4,1,0,0
218,872,3,Jump,898,168,1,4,1,0,0
219,876,3,Jump,898,176,0,0,0,1,0
220,880,4,Right+Jump,898,176,2,0,0,1,0
221,884,3,Jump,898,176,0,0,0,1,0
222,888,9,Right+Jump+Run,898,176,3,0,0,1,0
223,892,2,Left,897,176,-4,0,0,1,-1
224,896,9,Right+Jump+Run,897,160,-1,-4,1,0,0
225,900,9,Right+Jump+Run,897,147,1,-3,1,0,0
226,904,7,Right+Run,898,138,6,-2,1,0,1
227,908,1,Right,898,135,1,0,1,0,0
228,912,0,NOOP,898,140,1,2,1,0,0
229,916,4,Right+Jump,898,152,1,4,1,0,0
230,920,9,Right+Jump+Run,898,168,0,-4,1,0,0
231,924,10,Left+Jump+Run,897,155,-3,-3,1,0,-1
232,928,3,Jump,896,149,-3,-1,1,0,-1
233,932,4,Right+Jump,896,149,-1,1,1,0,0
234,936,9,Right+Jump+Run,896,157,2,3,1,0,0
235,940,9,Right+Jump+Run,897,172,7,4,1,0,1
236,944,0,NOOP,898,176,3,0,0,1,1
237,948,9,Right+Jump+Run,898,160,3,-4,1,0,0
