timestamp,episode,duration_seconds,total_steps,total_reward,mario_x_final,mario_x_max,level_completed,death_cause,lives_remaining,score,coins_collected,enemies_killed,powerups_collected,time_remaining,completion_percentage,average_reward_per_step,max_q_value,min_q_value,exploration_actions,exploitation_actions
2026-03-25T18:37:26.358680,84,13.59435772895813,812,-7.799999999999985,83,83,False,stuck_timeout,0,0,0,0,0,0,2.619949494949495,-0.009605911330049243,9.893735885620117,9.893735885620117,787,24
2026-03-25T18:37:42.915973,85,14.37687635421753,862,116.00000000000148,209,209,False,stuck_timeout,0,0,0,0,0,0,6.597222222222222,0.13457076566125462,9.883768081665039,9.883768081665039,836,25
2026-03-25T18:38:01.873955,86,16.591878414154053,995,156.8000000000019,248,248,False,stuck_timeout,0,0,0,0,0,0,7.828282828282829,0.15758793969849436,9.830848693847656,9.830848693847656,964,30
2026-03-25T18:38:10.165266,87,7.778648614883423,466,75.30000000000099,146,146,False,stuck_timeout,0,0,0,0,0,0,4.608585858585858,0.16158798283262016,9.830848693847656,9.830848693847656,451,14
2026-03-25T18:38:16.823160,88,6.151465177536011,368,13.499999999999725,79,79,False,stuck_timeout,0,0,0,0,0,0,2.493686868686869,0.036684782608694906,9.830848693847656,9.830848693847656,356,11
2026-03-25T18:38:27.478215,89,9.085264444351196,541,238.60000000000002,290,290,False,death,0,0,0,0,0,0,9.154040404040405,0.4410351201478743,9.969779014587402,9.969779014587402,524,16
2026-03-25T18:38:36.804655,90,8.818140029907227,530,3.9999999999998956,72,72,False,stuck_timeout,0,0,0,0,0,0,2.272727272727273,0.007547169811320558,9.969779014587402,9.969779014587402,513,16
2026-03-25T18:38:49.853170,91,12.54357361793518,751,23.899999999999494,112,112,False,stuck_timeout,0,0,0,0,0,0,3.535353535353535,0.03182423435419374,9.969779014587402,9.969779014587402,727,23
2026-03-25T18:38:57.253602,92,6.895522832870483,411,-22.00000000000001,46,46,False,stuck_timeout,0,0,0,0,0,0,1.452020202020202,-0.05352798053527983,9.969779014587402,9.969779014587402,398,12
2026-03-25T18:39:07.886360,93,9.011636972427368,536,226.70000000000002,274,274,False,death,0,0,0,0,0,0,8.6489898989899,0.4229477611940299,9.762385368347168,9.762385368347168,519,16
2026-03-25T18:39:14.780341,94,6.377354383468628,378,-19.199999999999978,50,50,False,stuck_timeout,0,0,0,0,0,0,1.5782828282828283,-0.05079365079365074,9.762385368347168,9.762385368347168,366,11
2026-03-25T18:39:27.304911,95,12.016372203826904,722,-32.100000000000186,56,56,False,stuck_timeout,0,0,0,0,0,0,1.7676767676767675,-0.04445983379501411,9.762385368347168,9.762385368347168,699,22
2026-03-25T18:39:35.405354,96,7.588718414306641,454,19.599999999999696,87,87,False,stuck_timeout,0,0,0,0,0,0,2.746212121212121,0.04317180616740021,9.762385368347168,9.762385368347168,439,14
