episode_id,timestamp,start_time,end_time,duration,max_x_reached,level_progress_percent,level_completed,lives_used,deaths,death_causes,total_reward,avg_reward_per_frame,distance_reward,completion_reward,powerup_reward,enemy_reward,score_reward,coin_reward,death_penalty,movement_penalty,stuck_penalty,score,coins_collected,enemies_killed,powerups_collected,time_remaining,frames_processed,actions_taken,avg_fps,sync_quality,status,termination_reason,curriculum_phase
27,2026-03-25T18:26:03.388025,1774481163.3880253,1774481170.0565305,6.6685051918029785,41,1.2941919191919191,False,0,0,,-23.500000000000092,-0.0590452261306535,4.1000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,398,0,59.683540546572154,1.0,terminated,stuck_timeout,exploration
28,2026-03-25T18:26:10.804745,1774481170.8047454,1774481179.0493295,8.244584083557129,283,8.933080808080808,False,0,0,,268.0,0.5469387755102041,28.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,490,0,59.43295562686399,1.0,failed,death,exploration
29,2026-03-25T18:26:19.831572,1774481179.8315718,1774481196.2281046,16.396532773971558,211,6.660353535353536,False,0,0,,138.30000000000118,0.14040609137055957,21.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,985,0,60.073676159366094,1.0,terminated,stuck_timeout,exploration
30,2026-03-25T18:26:37.313624,1774481197.3136241,1774481209.679898,12.366273880004883,155,4.892676767676768,False,0,0,,98.80000000000072,0.1333333333333343,15.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,741,0,59.92104066190287,1.0,terminated,stuck_timeout,exploration
31,2026-03-25T18:26:50.638341,1774481210.6383412,1774481215.845807,5.207465887069702,41,1.2941919191919191,False,0,0,,-21.500000000000078,-0.06869009584664562,4.1000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,313,0,60.106010636994974,1.0,terminated,stuck_timeout,exploration
32,2026-03-25T18:26:56.603676,1774481216.6036763,1774481230.0738206,13.470144271850586,119,3.756313131313131,False,0,0,,32.49999999999966,0.04017305315203913,11.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,809,0,60.05874797426027,1.0,terminated,stuck_timeout,exploration
33,2026-03-25T18:27:11.004641,1774481231.0046406,1774481252.77056,21.76591944694519,447,14.109848484848486,False,0,0,,380.2999999999904,0.29208909370198954,44.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1302,0,59.818286251295184,1.0,terminated,stuck_timeout,exploration
34,2026-03-25T18:27:34.047184,1774481254.0471845,1774481265.8614187,11.814234256744385,76,2.398989898989899,False,0,0,,-1.8000000000000052,-0.002560455192034147,7.6000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,703,0,59.50449133837674,1.0,terminated,stuck_timeout,exploration
35,2026-03-25T18:27:46.784101,1774481266.7841015,1774481272.879102,6.095000505447388,40,1.2626262626262625,False,0,0,,-24.00000000000007,-0.06629834254143666,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,362,0,59.39294011156581,1.0,terminated,stuck_timeout,exploration
36,2026-03-25T18:27:53.647869,1774481273.647869,1774481289.9902692,16.342400074005127,126,3.977272727272727,False,0,0,,55.99999999999966,0.05731832139201603,12.600000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,977,0,59.78314051643217,1.0,terminated,stuck_timeout,exploration
